PERMIT_TYPE,APP_ID,WDID,STATUS,NOI_PROCESSED_DATE,REGION_BOARD,COUNTY,OPERATOR_NAME,FACILITY_NAME,FACILITY_ADDRESS,FACILITY_CITY,FACILITY_STATE,FACILITY_ZIP,FACILITY_LATITUDE,FACILITY_LONGITUDE,FACILITY_COUNTY,FACILITY_CONTACT_FIRST_NAME,FACILITY_CONTACT_LAST_NAME,FACILITY_PHONE,FACILITY_TOTAL_SIZE,FACILITY_TOTAL_SIZE_UNIT,PRIMARY_SIC
Industrial,188531,4 19I000033,Active,1992-02-10,4,Los Angeles,Sonic Plating Co,Sonic Plating Co,13002 Los Nietos Rd,Santa Fe Springs,Ca,90670.0,33.94546,-118.05397,Los Angeles,John,Alsky,562-946-6303,23750.0,Sqft,"3471-Electroplating, Plating, Polishing, Anodizing, And Coloring"
Industrial,188532,4 19I000037,Terminated,1992-02-10,4,Los Angeles,Aero Engines Inc,Aero Engines Inc,3030 N Coolidge Ave,Los Angeles,Ca,90039.0,34.10449,-118.24456,Los Angeles,William,Acosta,3236633961,68250.0,Sqft,3724-Aircraft Engines And Engine Parts
Industrial,188533,4 19I000043,Active,1992-02-10,4,Los Angeles,Mechanical Metal Finishing,Mechanical Metal Finishing,15220 S Broadway St,Rosewood,Ca,90248.0,33.89355,-118.27858,Los Angeles,Ahmed,Ibrahim,310-353-2181,37000.0,Sqft,"3471-Electroplating, Plating, Polishing, Anodizing, And Coloring"
Industrial,188534,4 19I000044,Terminated,1992-02-10,4,Los Angeles,Accuride,Accuride,12311 Shoemaker Ave,Santa Fe Springs,Ca,90670.0,33.91981,-118.05522,Los Angeles,Kevin,Garcia,562-903-0312,8.0,Acres,9999-Nonclassifiable Establishments
Industrial,188535,4 19I000045,Terminated,1992-02-10,4,Los Angeles,Bell Foundry Co,Bell Foundry Co,5310 Southern Ave,South Gate,Ca,90280.0,33.94554,-118.17589,Los Angeles,Bobby,Twijsel,323-564-5701,8.5,Acres,3321-Gray And Ductile Iron Foundries
Industrial,188536,4 19I000060,Terminated,1992-02-18,4,Los Angeles,Walker 400,Walker 400,400 W Valley Blvd,San Gabriel,Ca,91776.0,34.0795,-118.10526,Los Angeles,Ronald,Walker,6265761645,3000.0,Sqft,"5015-Motor Vehicle Parts, Used"
Industrial,188537,4 19I000066,Terminated,1992-02-18,4,Los Angeles,Kramer Metals Inc,Kramer Metals,1000 E Slauson Ave,Los Angeles,Ca,90011.0,33.98931,-118.25774,Los Angeles,Douglas,Kramer,323-587-2277,155000.0,Sqft,5093-Scrap And Waste Materials
Industrial,188538,4 19I000067,Terminated,1992-02-18,4,Los Angeles,Monico Alloys Inc,Monico Alloys,2301 E 15Th St,Los Angeles,Ca,90021.0,34.02148,-118.23135,Los Angeles,Ken,Larson,213-629-4767,44110.0,Sqft,5093-Scrap And Waste Materials
Industrial,188539,4 19I000068,Active,1992-02-18,4,Los Angeles,Monico Alloys,Monico Alloys,18383 S Susana Rd,Compton,Ca,90221.0,33.86315,-118.20411,Los Angeles,Jason,Zenk,310-762-6015,76800.0,Sqft,5093-Scrap And Waste Materials
Industrial,188540,4 19I000069,Active,1992-02-18,4,Los Angeles,Kramer Metals Inc,Spectrum Alloys Llc,1760 E Slauson Ave,Los Angeles,Ca,90058.0,33.98894,-118.24145,Los Angeles,Doug,Kramer,323-587-2277,2.01,Acres,5093-Scrap And Waste Materials
Industrial,188541,4 19I000070,Active,1992-02-18,4,Los Angeles,U Haul,Paramount Manufacturing Company,5884 N Paramount Blvd,Long Beach,Ca,90805.0,33.86169,-118.15989,Los Angeles,Richard,Welty,562-408-6069,135300.0,Sqft,3713-Truck And Bus Bodies
Industrial,188542,4 19I000074,Terminated,1992-02-18,4,Los Angeles,International Extrusions Corp,Int Extrusions,1000 S Meridian Ave,Alhambra,Ca,91803.0,34.08247,-118.15388,Los Angeles,Robert,Olivas,626-576-2424,9.0,Acres,3354-Aluminum Extruded Products
Industrial,188543,4 19I000080,Terminated,1992-02-18,4,Los Angeles,Pioneer Diecasters Inc,Pioneer Diecasters,4209 Chevy Chase Dr,Los Angeles,Ca,90039.0,34.13344,-118.26581,Los Angeles,Manuel,Gonzalez,323-245-6561,45000.0,Sqft,3363-Aluminum Die-Castings
Industrial,188544,4 19I000081,Terminated,1992-02-18,4,Los Angeles,Kawabata American Inc,Kawabata American Inc,1950 Santa Fe,Compton,Ca,90221.0,33.87796,-118.215169,Los Angeles,Taka,Yamauchi,310-638-6183,105000.0,Sqft,5093-Scrap And Waste Materials
Industrial,188544,4 19Nec012258,Active,1992-02-18,4,Los Angeles,Kawabata American Inc,Kawabata American Inc,1950 Santa Fe,Compton,Ca,90221.0,33.87796,-118.215169,Los Angeles,Taka,Yamauchi,310-638-6183,105000.0,Sqft,5093-Scrap And Waste Materials
Industrial,188545,4 19I000087,Terminated,1992-02-18,4,Los Angeles,Del Mar Die Casting,Del Mar Die Casting,12901 S Western Ave,Gardena,Ca,90249.0,33.91555,-118.30911,Los Angeles,Carl,Davis,3103278999,100000.0,Sqft,"3364-Nonferrous Die-Castings, Except Aluminum"
Industrial,188546,4 19I000098,Active,1992-02-18,4,Los Angeles,Aerocraft Heat Treating Co Inc,Aerocraft Heat Treating Co In,15701 Minnesota Ave,Paramount,Ca,90723.0,33.89011,-118.16672,Los Angeles,Curtis,Vorhees,949-202-7624,3.0,Acres,3398-Metal Heat Treating
Industrial,188547,4 19I000106,Terminated,1992-02-20,4,Los Angeles,Pacific Tube Co,Pac Tube Co,5710 Smithway St,City Of Commerce,Ca,90040.0,34.00712,-118.14957,Los Angeles,Preston,Wyatt,323-728-2611,45.0,Acres,3317-Steel Pipe And Tubes
Industrial,188548,4 19I000107,Active,1992-02-20,4,Los Angeles,Fred Goble,Ajax Forge Co,1956 E 48Th St,Los Angeles,Ca,90058.0,34.00051,-118.23758,Los Angeles,Jeff,Mcelrath,3235826307,40000.0,Sqft,3462-Iron And Steel Forgings
Industrial,188549,4 19I000110,Terminated,1992-02-20,4,Los Angeles,"Gettleson, Robert",Ace Auto Parts & Salvage,13025 Valley Blvd,La Puente,Ca,91746.0,34.05282,-118.0017,Los Angeles,Robert,Gettleso Gettleso,6263300643,26250.0,Sqft,"5015-Motor Vehicle Parts, Used"
Industrial,188550,4 19I000115,Terminated,1992-02-21,4,Los Angeles,Rangers Die Cast,Rangers Die Cast,10828 Alameda St,Lynwood,Ca,90262.0,33.93706,-118.22636,Los Angeles,Larry,Larson,323-979-2193,85000.0,Sqft,3363-Aluminum Die-Castings
Industrial,188551,4 19I000118,Active,1992-02-24,4,Los Angeles,United States Gypsum,United States Gypsum,401 Van Ness Ave,Torrance,Ca,90501.0,33.84447,-118.31883,Los Angeles,Nicole,Neal,310-224-5540,7.0,Acres,3275-Gypsum Products
Industrial,188552,4 19I000122,Active,1992-02-21,4,Los Angeles,Los Angeles Pump And Valve Products,Los Angeles Pump And Valve Products,2529 55Th,Huntington Park,Ca,90255.0,33.99299,-118.22706,Los Angeles,Phil,Pinto,323-277-7788,1.0,Acres,"3364-Nonferrous Die-Castings, Except Aluminum"
Industrial,188553,4 19I000125,Terminated,1992-02-21,4,Los Angeles,Us Gypsum Corp,Us Gypsum Co,9306 Sorensen Ave,Santa Fe Springs,Ca,90670.0,33.95498,-118.06054,Los Angeles,Adrian,Barkley,310-946-6454,13.0,Acres,3275-Gypsum Products
Industrial,188554,4 19I000130,Active,1992-02-24,4,Los Angeles,City Of Torrance,Torrance City Services Facility,20500 Madrona Ave,Torrance,Ca,90503.0,33.8452,-118.34466,Los Angeles,John,Drakodaidis,310-618-6283,24.05,Acres,4111-Local And Suburban Transit
Industrial,188555,4 19I000131,Terminated,Unknown,4,Los Angeles,Libbey Glass Inc.,City Of Industry Facility,200 Old Ranch,Unknown,Ca,91789.0,34.017765,-117.836979,Los Angeles,Steve,Lagomars,909-468-0205,40.0,Acres,"3229-Pressed And Blown Glass And Glassware, Nec"
Industrial,188556,4 19I000132,Terminated,1992-02-24,4,Los Angeles,M & G Auto Salvage Inc,M&G Auto Salvage Inc,470 S Mira Loma Dr,Azusa,Ca,91702.0,34.11514,-117.92403,Los Angeles,Roderick,Steiner,6263340311,3.0,Acres,"5015-Motor Vehicle Parts, Used"
Industrial,188557,4 19I000137,Terminated,1992-02-24,4,Los Angeles,Commonwealth Aluminum,Commonwealth Aluminum Concast,2211 Carson,Long Beach,Ca,90810.0,33.83175,-118.23114,Los Angeles,Luda,Adenskaya,310-847-8839,538402.0,Sqft,3341-Secondary Smelting And Refining Of Nonferrous Metals
Industrial,188558,4 19I000147,Active,1992-02-24,4,Los Angeles,Automation Plating Corp,Automation Plating Corp,927 Thompson Ave,Glendale,Ca,91201.0,34.16992,-118.29466,Los Angeles,Pat,Kinzy,818-241-2844,20000.0,Sqft,"3471-Electroplating, Plating, Polishing, Anodizing, And Coloring"
Industrial,188559,4 19I000163,Active,1992-02-26,4,Los Angeles,Amvac Chemical Corp,Amvac Chemical Corp,4100 E Washington Blvd,Los Angeles,Ca,90023.0,34.00994,-118.18815,Los Angeles,Simone,Vu,323-526-2330,3.0,Acres,"2879-Pesticides And Agricultural Chemicals, Nec"
Industrial,188560,4 19I000178,Terminated,1992-03-02,4,Los Angeles,Criterion Catalyst Co Lp,Criterion Catalyst Co Lp,1001 N Todd Ave,Azusa,Ca,91702.0,34.13987,-117.92488,Los Angeles,Halina,Sikora,626-216-6333,60.0,Acres,"2819-Industrial Inorganic Chemicals, Nec"
Industrial,188561,4 19I000181,Terminated,1992-03-02,4,Los Angeles,Byron Reynolds,Bandini Fertilizer,4139 Bandini Blvd,Los Angeles,Ca,90023.0,34.00326,-118.1899,Los Angeles,James,Joseph,323-263-7391,6.0,Acres,"2875-Fertilizers, Mixing Only"
Industrial,188562,4 19I000189,Terminated,1992-03-02,4,Los Angeles,Ces Placerita,Ces Placerita,20885 Placerita Canyon Rd,Newhall,Ca,91321.0,34.37941,-118.50133,Los Angeles,Larry,Trowsdale,760-384-8172,4.0,Acres,4911-Electric Services
Industrial,188563,4 19I000199,Terminated,1992-03-02,4,Los Angeles,"Rockmaker, Norman",Fairway Salvage Inc,2195 S Santa Fe Ave,Compton,Ca,90221.0,33.87467,-118.21463,Los Angeles,Wendy,Marcott,310-639-4923,54000.0,Sqft,5093-Scrap And Waste Materials
Industrial,188564,4 19I000204,Terminated,1992-03-02,4,Los Angeles,Owens Brockway Inc,Owens Brockway Inc,2901 Fruitland Ave,Vernon,Ca,90058.0,33.99651,-118.21721,Los Angeles,Leonard,Barr,3235864207,34.0,Acres,3221-Glass Containers
Industrial,188565,4 19I000205,Terminated,1992-03-02,4,Los Angeles,Ashland Llc,Ashland Llc,6608 26Th,City Of Commerce,Ca,90040.0,33.98785,-118.1389,Los Angeles,Grant,Needham,323-767-1225,244950.0,Sqft,"2821-Plastics Material And Synthetic Resins, And Nonvulcanizable Elastomers"
Industrial,188566,4 19I000221,Terminated,1992-03-02,4,Los Angeles,Starow Metal Star Scrap Mental Depot,Starow Metal Star Scrap Metal Depot,14334 Firestone Blvd,La Mirada,Ca,90638.0,33.88129,-118.02429,Los Angeles,Veronica,Mummert,714-994-3450,3.5,Acres,5093-Scrap And Waste Materials
Industrial,188567,4 19I000222,Terminated,1992-03-02,4,Los Angeles,Delta Creative,Delta Technical Coatings,2550 Pellissier Pl,City Of Industry,Ca,90601.0,34.02804,-118.03473,Los Angeles,Mike,Kaird,562-695-7969,95000.0,Sqft,"2851-Paints, Varnishes, Lacquers, Enamels, And Allied Products"
Industrial,188568,4 19I000231,Active,1992-03-02,4,Los Angeles,Yusen Terminal Inc,Yusen Terminals Llc,701 New Dock St,Los Angeles,Ca,90731.0,33.75383,-118.2574,Los Angeles,Ken,Fletcher,310-548-8271,185.0,Acres,4491-Marine Cargo Handling
Industrial,188569,4 19I000232,Terminated,1992-03-02,4,Los Angeles,Valspar Coatings,Valspar Coatings,1004 W 10Th St,Azusa,Ca,91702.0,34.13977,-117.92071,Los Angeles,David,Coates,626-334-8251,232211.0,Sqft,"2851-Paints, Varnishes, Lacquers, Enamels, And Allied Products"
Industrial,188570,4 19I000238,Terminated,1992-03-06,4,Los Angeles,Mel Bernie  Co,Mel Bernie  Co,3000 W Empire Ave,Burbank,Ca,91504.0,34.19195,-118.34346,Los Angeles,Rene,Guardado,818-841-1928,85924.0,Sqft,"3961-Costume Jewelry And Costume Novelties, Except Precious Metals"
Industrial,188570,4 19Nec003149,Active,1992-03-06,4,Los Angeles,Mel Bernie  Co,Mel Bernie  Co,3000 W Empire Ave,Burbank,Ca,91504.0,34.19195,-118.34346,Los Angeles,Rene,Guardado,818-841-1928,85924.0,Sqft,"3961-Costume Jewelry And Costume Novelties, Except Precious Metals"
Industrial,188571,4 19I000244,Terminated,1992-03-06,4,Los Angeles,American Diamond Tool,Avalon Chemical Prod Co,5959 S Hoover St,Los Angeles,Ca,90044.0,33.98612,-118.28702,Los Angeles,Unknown,Unknown,Unknown,10000.0,Sqft,3291-Abrasive Products
Industrial,188572,4 19I000245,Terminated,1992-03-06,4,Los Angeles,"Kong, Charlie Y",A 1 Western Auto Salvage,13424 S Western Ave,Gardena,Ca,90249.0,33.91021,-118.30911,Los Angeles,Kong,Charlie,323-770-1383,2.0,Acres,5093-Scrap And Waste Materials
Industrial,188573,4 19I000247,Terminated,1992-03-06,4,Los Angeles,Pemaco Metal Processing Corp,Pemaco Metal Processing Corp,2125 Lemon St,Alhambra,Ca,91803.0,34.08634,-118.14694,Los Angeles,John,Nourse,626-576-0480,25000.0,Sqft,"3471-Electroplating, Plating, Polishing, Anodizing, And Coloring"
Industrial,188573,4 19Nec003956,Terminated,1992-03-06,4,Los Angeles,Pemaco Metal Processing Corp,Pemaco Metal Processing Corp,2125 Lemon St,Alhambra,Ca,91803.0,34.08634,-118.14694,Los Angeles,John,Nourse,626-576-0480,25000.0,Sqft,"3471-Electroplating, Plating, Polishing, Anodizing, And Coloring"
Industrial,188574,4 19I000250,Terminated,1992-03-06,4,Los Angeles,Plateronics Processing,Plateronics Processing,9164 Independence Ave,Chatsworth,Ca,91311.0,34.2373,-118.5915,Los Angeles,Keshav,Kumar,818-341-2191,10000.0,Sqft,"3471-Electroplating, Plating, Polishing, Anodizing, And Coloring"
Industrial,188574,4 19Nec013504,Active,1992-03-06,4,Los Angeles,Plateronics Processing,Plateronics Processing,9164 Independence Ave,Chatsworth,Ca,91311.0,34.2373,-118.5915,Los Angeles,Keshav,Kumar,818-341-2191,10000.0,Sqft,"3471-Electroplating, Plating, Polishing, Anodizing, And Coloring"
Industrial,188575,4 19I000254,Terminated,1992-03-06,4,Los Angeles,Bomark Inc,Bomark Inc,601 S 6Th Ave,City Of Industry,Ca,91746.0,34.03005,-117.98552,Los Angeles,Albert,Arroyo,626-968-1666,43500.0,Sqft,2893-Printing Ink
Industrial,188576,4 19I000266,Terminated,1992-03-06,4,Los Angeles,Mdm Inc,Mdm Inc,9533 Irondale Ave,Chatsworth,Ca,91311.0,34.24337,-118.58597,Los Angeles,Jim,Gennette,8188823434,99168.0,Sqft,"3769-Guided Missile Space Vehicle Parts And Auxiliary Equipment, Nec"
Industrial,188577,4 19I000273,Terminated,1992-03-06,4,Los Angeles,Aj Daw Printing Ink Co,A J Daw Printing,3559 Greenwood Ave,City Of Commerce,Ca,90040.0,33.97824,-118.12972,Los Angeles,Mark,Daw,323-723-3253,67760.0,Sqft,2893-Printing Ink
Industrial,188578,4 19I000275,Terminated,1992-03-06,4,Los Angeles,Bavarian Speciality Foods,Bavarian Speciality Foods,22417 S Vermont Ave,Torrance,Ca,90502.0,33.82294,-118.29034,Los Angeles,Michael,Engel,310-212-6199,106425.0,Sqft,"2053-Frozen Bakery Products, Except Bread"
Industrial,188579,4 19I000276,Terminated,1992-03-06,4,Los Angeles,American Etching  Manufacturing,American Etching  Mfg,13730 Desmond St,Pacoima,Ca,91331.0,34.27384,-118.43177,Los Angeles,Brian,Wassell,8188961187,38080.0,Sqft,"3479-Coating, Engraving, And Allied Services, Nec"
Industrial,188580,4 19I000278,Terminated,1992-03-06,4,Los Angeles,Ormco Corp,Ormco Corp,1332 S Lone Hill Ave,Glendora,Ca,91740.0,34.11521,-117.82887,Los Angeles,Eileen,Oblea,714-516-7636,3.1,Acres,3843-Dental Equipment And Supplies
Industrial,188581,4 19I000284,Terminated,1992-03-06,4,Los Angeles,Martin Metals Inc,Martin Metals Inc,1321 Wilson St,Los Angeles,Ca,90021.0,34.02572,-118.23487,Los Angeles,Rondld,B Hemmings,2136277755,20010.0,Sqft,3341-Secondary Smelting And Refining Of Nonferrous Metals
Industrial,188582,4 19I000285,Terminated,1992-03-06,4,Los Angeles,Sanwa Foods,Sanwa Foods,331 Vineland Ave,City Of Industry,Ca,91746.0,34.05106,-117.98949,Los Angeles,Dennis,Roberts,626-961-1671,357190.0,Sqft,"2034-Dried And Dehydrated Fruits, Vegetables, And Soup Mixes"
Industrial,188583,4 19I000292,Terminated,1992-03-06,4,Los Angeles,Bp Lubricants Inc,Castrol Industrial Inc,5511 District,Vernon,Ca,90040.0,33.9908,-118.17685,Los Angeles,Marty,Henerson,Unknown,1.0,Acres,2992-Lubricating Oils And Greases
Industrial,188584,4 19I000297,Terminated,1992-03-06,4,Los Angeles,Cascade Die Casting Group,Cascade Die Casting Pac,950 Turnbull Canyon,City Of Industry,Ca,91745.0,34.016138,-117.975095,Los Angeles,Ross,D Worthington,6269681421,168860.0,Sqft,3363-Aluminum Die-Castings
Industrial,188585,4 19I000309,Terminated,1992-03-06,4,Los Angeles,Honeywell Inc,Honeywell Turbocharging Sys,3201 Lomita Blvd,Torrance,Ca,90505.0,33.81204,-118.34237,Los Angeles,Marcel,Lacelle,310-530-1981,16.0,Acres,3714-Motor Vehicle Parts And Accessories
Industrial,188586,4 19I000310,Active,1992-03-06,4,Los Angeles,Keystone Engineering Company,Keystone Engineering Company,4401 Donald Douglas,Long Beach,Ca,90808.0,33.81885,-118.14192,Los Angeles,Tim,Luu,714-907-5755,111000.0,Sqft,"3499-Fabricated Metal Products, Nec"
Industrial,188587,4 19I000317,Terminated,1992-03-06,4,Los Angeles,Superior Industries,Superior Industries,14721 Keswick St,Van Nuys,Ca,91405.0,34.21026,-118.45413,Los Angeles,Mike,Leonte Art Chavez,8187814973,72818.0,Sqft,"3471-Electroplating, Plating, Polishing, Anodizing, And Coloring"
Industrial,188588,4 19I000321,Terminated,1993-01-28,4,Los Angeles,Western Tube  Conduit Corp,Western Tube And Conduit Corporation,2001 E Dominguez St,Long Beach,Ca,90810.0,33.8392,-118.23432,Los Angeles,Robert,Werth,773-346-8822,20.0,Acres,3317-Steel Pipe And Tubes
Industrial,188589,4 19I000323,Active,1992-03-06,4,Los Angeles,Huck International Inc,Huck International Inc,900 E Watson Center Rd,Carson,Ca,90745.0,33.82011,-118.25897,Los Angeles,Charles,Francis,561-681-3279,13.0,Acres,"3452-Bolts, Nuts, Screws, Rivets, And Washers"
Industrial,188590,4 19I000329,Terminated,1992-03-11,4,Los Angeles,Crown Cork & Seal,Crown Cork & Seal Co,14501 Artesia Blvd,La Mirada,Ca,90638.0,33.87337,-118.02295,Los Angeles,Leon,Denney,714-994-0300,20.0,Acres,3411-Metal Cans
Industrial,188591,4 19I000335,Active,1992-03-11,4,Los Angeles,Punch Press Products Inc,Punch Press Products Inc,2035 51St,Vernon,Ca,90058.0,33.99672,-118.23615,Los Angeles,Adrian,Lucero,323-581-7151,110000.0,Sqft,"3469-Metal Stamping, Nec"
Industrial,188592,4 19I000341,Terminated,1992-03-11,4,Los Angeles,King Meat Inc,King Meat Inc,4215 Exchange,Vernon,Ca,90058.0,34.00246,-118.20421,Los Angeles,Andrew,Lofquist,323-582-7401,185450.0,Sqft,2013-Sausages And Other Prepared Meats
Industrial,188593,4 19I000346,Active,1992-03-11,4,Los Angeles,Eme Inc,E M E Inc,431 E Oaks St,Compton,Ca,90221.0,33.90927,-118.22,Los Angeles,Steve,Robbins,310-639-1621,108750.0,Sqft,"3471-Electroplating, Plating, Polishing, Anodizing, And Coloring"
Industrial,188594,4 19I000350,Terminated,1992-03-11,4,Los Angeles,Benjamin Moore & Co,Benjamin Moore & Co,3325 Garfield Ave,Los Angeles,Ca,90040.0,33.98523,-118.13981,Los Angeles,Ron,Widner,3237223484,185000.0,Sqft,"2851-Paints, Varnishes, Lacquers, Enamels, And Allied Products"
Industrial,188595,4 19I000353,Terminated,1992-03-11,4,Los Angeles,Ideal Metal Co,Ideal Metal Co,18700 S Broadway St,Carson,Ca,90248.0,33.86082,-118.27847,Los Angeles,Steven,Tuch,310-324-1191,124430.0,Sqft,5093-Scrap And Waste Materials
Industrial,188596,4 19I000355,Active,1992-03-11,4,Los Angeles,C A Buchen,C A Buchen Corp.,9231 Glenoaks Blvd,Sun Valley,Ca,91352.0,34.23679,-118.37373,Los Angeles,John,Oster,818-767-5408,57036.0,Sqft,3441-Fabricated Structural Metal
Industrial,188597,4 19I000359,Terminated,1992-03-11,4,Los Angeles,Custom Alloy Sales,Custom Alloy Sales,2805 Los Flores Blvd,Lynwood,Ca,90262.0,33.93281,-118.22208,Los Angeles,Matt,Hunkins,3108863460,52000.0,Sqft,3341-Secondary Smelting And Refining Of Nonferrous Metals
Industrial,188598,4 19I000364,Terminated,1992-03-11,4,Los Angeles,G Harris Intl Llc,G Harris Int Llc,1025 Mcfarland Ave,Wilmington,Ca,90748.0,33.78369,-118.25319,Los Angeles,Douglas,Luebbe,310-513-1424,51510.0,Sqft,5093-Scrap And Waste Materials
Industrial,188599,4 19I000389,Terminated,1992-03-11,4,Los Angeles,Air Liquide America Corp,Air Liquide,8832 Dice Rd,Santa Fe Springs,Ca,90670.0,33.95973,-118.06571,Los Angeles,Tim,Dall,562-464-5221,3.0,Acres,2813-Industrial Gases
Industrial,188600,4 19I000395,Terminated,1992-03-11,4,Los Angeles,Crown City Plating Co,Crown City Plating Co,4350 Temple City Blvd,El Monte,Ca,91731.0,34.08606,-118.0564,Los Angeles,Tod,S Rankin,626-444-9291,12.0,Acres,"3471-Electroplating, Plating, Polishing, Anodizing, And Coloring"
Industrial,188601,4 19I000397,Terminated,1992-03-11,4,Los Angeles,Stone Container Corp,Stone Container Corp,6605 Flotilla St,Los Angeles,Ca,90040.0,34.00573,-118.1311,Los Angeles,Mcearnest,Moorer,3237260963,6.0,Acres,2674-Uncoated Paper And Multiwall Bags
Industrial,188602,4 19I000399,Active,1992-03-11,4,Los Angeles,Bentley Prince Street Inc,Bentley Prince St Inc,14641 Don Julian Rd,City Of Industry,Ca,91746.0,34.02784,-117.97874,Los Angeles,Lucy,Jauregui,626-233-2233,14.0,Acres,2273-Carpets And Rugs
Industrial,188603,4 19I000404,Terminated,1992-03-11,4,Los Angeles,Vortox,Vortox,121 S Indian Hill Blvd,Claremont,Ca,91711.0,34.09376,-117.71931,Los Angeles,Kevin,Myers,909-621-3843,148000.0,Sqft,3714-Motor Vehicle Parts And Accessories
Industrial,188604,4 19I000406,Active,1992-03-11,4,Los Angeles,Weber Metal,Weber Metals,16706 Garfield Ave,Paramount,Ca,90723.0,33.88295,-118.16872,Los Angeles,Queen,Uchekwe,562-602-0260,23.0,Acres,3463-Nonferrous Forgings
Industrial,188605,4 19I000410,Terminated,1992-03-11,4,Los Angeles,"Imperial Paving Co., Inc.",Imperial Paving Co Inc,13555 Imperial,Whittier,Ca,90605.0,33.91709,-118.04337,Los Angeles,Marcia,Dunleavy,5629440975,3.0,Acres,2951-Asphalt Paving Mixtures And Blocks
Industrial,188606,4 19I000411,Terminated,1992-03-11,4,Los Angeles,Engineered Polymer Solutions,Engineered Polymer Solutions,5501 E Slauson Ave,Los Angeles,Ca,90040.0,33.98628,-118.16601,Los Angeles,Justin,Lanyon,323-889-2515,4.0,Acres,"2821-Plastics Material And Synthetic Resins, And Nonvulcanizable Elastomers"
Industrial,188607,4 19I000412,Terminated,1992-03-11,4,Los Angeles,Fortifiber Corp,Fortifiber Corp,4489 Bandini Blvd,Los Angeles,Ca,90023.0,33.99993,-118.17985,Los Angeles,Joe,Martineau,3232686783,3.0,Acres,"2671-Packaging Paper And Plastics Film, Coated And Laminated"
